"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Tests for checkout","","0","5","0","0","0"
"","Tests for login","","0","1","3","0","0"
"","Sort functionality","","0","1","0","0","0"
"","E2E test for purchase","","0","1","0","0","0"
